EIN,NAME,CITY,CODE,EXCLUSION_BASIS,REASON
742615466,LADY LEX MUSEUM ON THE BAY ASSOCIATION,CORP CHRISTI,C,"Operator or conduit","Runs its own programs, or passes money through without choice: operates own museum"
453929881,MERCURY ONE INC,IRVING,C,"Operator or conduit","Runs its own programs, or passes money through without choice: operating charity not grantmaker"
760492399,OMEGA CHARITABLE DEVELOPERS INC,HOUSTON,C,"Operator or conduit","Runs its own programs, or passes money through without choice: conduit shell"
200445492,THE ONESTAR FOUNDATION,AUSTIN,C,"Operator or conduit","Runs its own programs, or passes money through without choice: AmeriCorps administrator"
746047176,BLUE BIRD FOUNDATION,HOUSTON,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own affiliate"
752125945,BUCKNER FOUNDATION,DALLAS,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own ministry"
742129272,HOUSTON BALLET GUILD INC,HOUSTON,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to parent ballet"
844633153,IPS ENTERPRISES INC,WESLACO,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: operates own charter network"
473786139,LC FUND FOR PRIESTY FORMATION,HOUSTON,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own religious order"
752675978,NATIONAL BOY SCOUTS OF AMERICA FOUNDATION,IRVING,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to Scouting council network"
550907295,NEW GATE TO PEACE FOUNDATION,HOUSTON,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to affiliated religious network"
742602504,PARKS AND WILDLIFE FOUNDATION OF TEXAS INC,DALLAS,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to parent state agency"
750945939,SOUTHWESTERN MEDICAL FOUNDATION,DALLAS,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own university"
752838956,SWMF PROPERTIES INC,DALLAS,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to parent foundation"
742245072,TEXAS A&M FOUNDATION,COLLEGE STA,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own university"
756043842,TEXAS TECH FOUNDATION INC,LUBBOCK,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own university"
421370848,THE LIFESPACE FOUNDATION,COPPELL,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to parent senior living company"
751324332,TRINITY CHRISTIAN ACADEMY,ADDISON,A;D,"Closed loop to a controlled entity; In kind rather than cash","Gives only to a parent or affiliate it exists to serve AND distributes goods or services, not grant dollars: closed loop to own school"
752080121,TRINITY CHRISTIAN ACADEMY FOUNDATION,ADDISON,A,"Closed loop to a controlled entity","Gives only to a parent or affiliate it exists to serve: closed loop to own academy"
452931795,DARE 2,DALLAS,E,"No researchable public identity","Cannot be verified or contacted: no public identity"
881330756,GREATER HOUSTON COMMUNITY FOUNDATION,HOUSTON,E,"No researchable public identity","Cannot be verified or contacted: no surfaced identity"
824819179,USATRANSFORM,SOUTHLAKE,E,"No researchable public identity","Cannot be verified or contacted: identity mismatch"
